Date,Link,Name
2020-11-29 07:13,https://newyork.craigslist.org/brx/egr/d/bronx-construction-secretary/7238648710.html,Construction Secretary
2020-11-28 15:10,https://newyork.craigslist.org/brk/egr/d/brooklyn-developer-seeks-consultant-for/7238383513.html,Developer Seeks Consultant For Construction Estimating
2020-11-27 17:56,https://newyork.craigslist.org/mnh/egr/d/new-york-cad-facade-ll11-structural/7237934033.html,"CAD, FACADE, LL11, STRUCTURAL"
2020-11-27 14:11,https://newyork.craigslist.org/wch/egr/d/white-plains-insurance-estimator/7237799927.html,Insurance Estimator
2020-11-27 11:45,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-designer-draftsperson/7237699638.html,Architect/Designer - Draftsperson
2020-11-25 11:52,https://newyork.craigslist.org/brk/egr/d/brooklyn-interior-designer/7236863531.html,Interior Designer
2020-11-24 20:39,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager-architectural/7236625845.html,Project Manager - Architectural Office
2020-11-24 15:51,https://newyork.craigslist.org/mnh/egr/d/new-york-residential-interior-gc-firm/7236485655.html,Residential Interior GC Firm Hiring PM/Site Supervision Professionals
2020-11-23 14:54,https://newyork.craigslist.org/brk/egr/d/brooklyn-filing-rep-expediter-wanted/7235897029.html,Filing Rep Expediter Wanted Full Time
2020-11-23 13:57,https://newyork.craigslist.org/que/egr/d/astoria-nyc-firm-seeking-an-expediter/7235856239.html,"NYC Firm Seeking an Expediter (New York, New York)"
2020-11-23 11:43,https://newyork.craigslist.org/que/egr/d/forest-hills-nyc-dob-expediter-class-or/7235764631.html,"NYC DOB Expediter - Class 1 or 2, Filing Representative Expeditor - FT"
2020-11-23 10:04,https://newyork.craigslist.org/mnh/egr/d/brooklyn-water-treatment-specialist/7235623688.html,Water Treatment Specialist/ Chemist
2020-11-22 14:17,https://newyork.craigslist.org/que/egr/d/ozone-park-kitchen-draftsman-and-cnc/7235333403.html,KITCHEN DRAFTSMAN AND CNC PROGRAMMER
2020-11-21 15:58,https://newyork.craigslist.org/mnh/egr/d/new-york-intermediate-architect-project/7234903434.html,Intermediate Architect + Project Manager
2020-11-20 15:55,https://newyork.craigslist.org/brk/egr/d/brooklyn-developer-seeks-consultant-for/7234343797.html,Developer Seeks Consultant For Construction Estimating
2020-11-20 12:28,https://newyork.craigslist.org/mnh/egr/d/new-york-sheet-metal-worker/7234199462.html,Sheet Metal Worker
2020-11-19 17:37,https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer/7233846347.html,Structural Engineer
2020-11-19 17:32,https://newyork.craigslist.org/que/egr/d/woodside-structural-engineer/7233843513.html,Structural Engineer
2020-11-19 13:31,https://newyork.craigslist.org/lgi/egr/d/valley-stream-structural-engineer/7233688686.html,Structural Engineer
2020-11-19 12:37,https://newyork.craigslist.org/brx/egr/d/mount-vernon-construction-estimator-for/7233649082.html,Construction Estimator For Rough & Finished Carpentry & Milwork
2020-11-19 11:59,https://newyork.craigslist.org/brk/egr/d/architect-draftsperson/7233620996.html,Architect/draftsperson
2020-11-19 10:38,https://newyork.craigslist.org/mnh/egr/d/new-york-interior-design-administrative/7233565474.html,Interior Design Administrative Assistant
2020-11-18 18:02,https://newyork.craigslist.org/brk/egr/d/draftperson-cnc-programer-for/7233300546.html,Draftperson/ CNC programer for Woodworking
2020-11-18 16:41,https://newyork.craigslist.org/que/egr/d/great-neck-architect-intermediate/7233253288.html,ARCHITECT - INTERMEDIATE
2020-11-18 14:23,https://newyork.craigslist.org/brx/egr/d/bronx-licensed-high-pressure-boiler/7233162540.html,Licensed High-pressure Boiler Operating Engineer
2020-11-18 12:21,https://newyork.craigslist.org/mnh/egr/d/new-york-commissioning-engineer/7233070768.html,Commissioning Engineer
2020-11-18 11:12,https://newyork.craigslist.org/que/egr/d/new-york-architectural-construction/7233019251.html,Architectural Construction Admin/ Field Representative
2020-11-18 08:26,https://newyork.craigslist.org/fct/egr/d/brookfield-mechanical-engineer-for/7232927420.html,Mechanical Engineer for Rapidly growing medical device company
2020-11-17 18:33,https://newyork.craigslist.org/brk/egr/d/architectural-drafter-project-manager/7232745552.html,Architectural Drafter/  Project Manager
2020-11-17 17:21,https://newyork.craigslist.org/que/egr/d/richmond-hill-experienced-architect/7232704713.html,experienced architect/drafter
2020-11-17 16:06,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-architect/7232658658.html,Project Architect
2020-11-16 12:45,https://newyork.craigslist.org/mnh/egr/d/architect/7231937138.html,Architect
2020-11-16 10:51,https://newyork.craigslist.org/brk/egr/d/architectural-firm-seeking/7231850661.html,Architectural Firm Seeking Architectural Draftsman/ Designer
2020-11-14 15:55,https://newyork.craigslist.org/lgi/egr/d/brightwaters-estimator-civil-engineer/7231023267.html,ESTIMATOR / CIVIL ENGINEER
2020-11-13 16:24,https://newyork.craigslist.org/mnh/egr/d/new-york-energy-engineer/7230480846.html,ENERGY ENGINEER
2020-11-13 14:43,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-draftsperson/7230413121.html,Architect/Draftsperson
2020-11-13 14:36,https://newyork.craigslist.org/fct/egr/d/new-canaan-landscape-architect-designer/7230407983.html,Landscape Architect / Designer and Sales Professional
2020-11-12 12:32,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-interior-designer/7229751260.html,Senior Interior Designer & Architect
2020-11-12 12:08,https://newyork.craigslist.org/brk/egr/d/borough-expeditor/7229732983.html,BOROUGH EXPEDITOR
2020-11-12 10:19,https://newyork.craigslist.org/mnh/egr/d/new-york-construction-project-manager/7229657177.html,Construction Project Manager- Residential/Commercial
2020-11-11 23:42,https://newyork.craigslist.org/mnh/egr/d/new-york-city-seeking-jr-architect/7229529956.html,Seeking Jr Architect
2020-11-11 20:56,https://newyork.craigslist.org/que/egr/d/architect-cad-drafting/7229482485.html,Architect CAD Drafting
2020-11-11 11:04,https://newyork.craigslist.org/que/egr/d/college-point-estimator-take-off-expert/7229109251.html,Estimator/Take Off Expert
2020-11-11 05:54,https://newyork.craigslist.org/brk/egr/d/brooklyn-assistant-project-manager-and/7228989587.html,Assistant Project Manager and Office Admin
